Review,label
"Good quality music, but there are many Tamil songs are missing, examples: Minnal oru kodi and Malargale, both ARR music composition are missing ðŸ¤”ðŸ¤”ðŸ¤”",0
STAR,1
"Constant bugs, popping in songs requiring a restart. Song-based radios might not even have the ""based off of"" song in the playlist. Regurgitated radios, very difficult to find it curate new to me music, it just trys to play my already liked songs. If I find and save an new awesome playlist, the next time I check it's full of my liked songs and missing the fresh stuff. Give us a true dislike button to customize music. Stop trying to play artists I have marked as do not play. Etc I could go on",0
Just like how easy it is to use,0
This app is good until it crashes it gets frustrated when this happens even if you have the latest version it still crashes!,0
If I say play my liked songs don't play songs that I didn't like I liked them for a reason so I can listen to it,1
Its so great but annoyed the ad...,0
"the new update is making the app worst, fix it develop.",0
third class app,1
"Auto recommended music , sounds quality sharp , bass just perfect to go along with all song.",1
Bruh how many ads will they play I already got 8 ads stop playing ads ðŸ˜’,0
"It has all varieties of songs ,of all genres, of all ages,of all singers from old times to the latest ones.",1
Reasons behind my 1 star rating- 1The ad pop ups which are unskipable 2I fas also not able to skip some part of music 3YOUTUBE MUSIC is the best now ,1
I have Spotify premium and it is worth it. Best music app by far that I can say is worth my money!,1
It's an very good app....But by the time the ads are continuous increasing...I think the company should handle this,1
this is the best app ever i recomend it here is a reason why.there are so many diffrent musics and the best artists ever and there are so many musics to pick,1
"SECURITY ISSUE. The accounta are not secure, avoid signing in with your email service if you cannot avoid using the app. Have been using it for almost a year to discover this. Your login information is NOT secure. Apart from that.. App is not upto the standard. Bells and whistles but no quality. Low quality customer support for a paid service. The audio is very low quality, also the support executives have zero clue about their own product.",0
Please fix! After the update there is nothing but start and stop. The app just stops and you need to physically restart. I already tried reinstalling but today it is very bad! I love spotify but this is terrible and unusable lately.,0
"Upd2 I'm a long paying customer, yet everything in the app is designed to prevent me from contacting support, but why?? You want a letter in post? // Do songs dissappear from Liked Songs?? and... Please ... add ""refresh"" function for Daily Mix playlist - when pull it to change your suggestions for another ones (e.g when you've already fed them to me yesterday ) - similar wishes in 2020, nothing changed since 2019.",0
"Sir, my Spotify is not working my internet is good but he says you are offline I try every thighs but still it is not working ðŸ™ please solve us problem",0
I love it. Wide range of choices in genres and Artists!,1
"My only place for music, podcasts, audiobooks.",0
keeps shutting off 1 time soon after opening and playing After that it usually stays on,1
"Pretty good. I've been editing my videos while listening to Spotify and it feels so good! Just one problem. I want to be able to have unlimited skips whenever I want without having to buy premium, which disturbs my music. If you could remove that, I'll give this app a five! ðŸ˜Š",1
The adds get gradually worse the longer you use it to the point where it's unbearable. Every other song is multiple 30 seconds ads,0
"On the whole, it's great. Mostly a brilliant experience. The only gripe is that it doesn't go to landscape while playing music in full screen? It turns into a tiny interface in the bottom corner and displays no artwork and car mode doesn't rotate at all despite the phone settings.",0
Problem after updated. When clicking the button play..apps shutdown. Pls solve this problem even i pay ready.,0
The best music platform,1
"Very nice app for music listening, can't live without it. Only thing that I don't like is that it isn't integrated into samsung mobiles, because samsung music let's you browse on spotify within the samsung app but you can't log on to your personal spotify account inside that same exact app. Spotify gets my 5 star if they fully integrate into samsung mobiles (Hope it can be a choice for people that have spotify). Also a landscape mode when I play a song would be nice to have in the mobile appðŸ˜Š",0
Nice,1
Love Spotify I can find my music in a matter of seconds but there's a bug I'll tap on one so g and it will put a whole different artist and song on but otherwise it is a great appðŸ˜˜ðŸ’•ðŸ’…ðŸ’…,1
"I've been using this app for multiple years and it is awesome, if your using premium. If you don't have don't have premium, it's filled with ads and unskipable Songs. If you can afford premium though I would highly recommend it as I couldn't imagine my life with out Spotify.",1
Just great everything nothing much else to say!,1
Stupid ads play to often but apart from that it's on,0
Great as you can select your favourite music,1
Was great but now a pain to use. The app will continuously say I have something playing even after a phone restart but nothing is on. I also have it randomly going to songs that I have never listened to halfway through another. Becoming unusable.,0
"For some reason, itll only play a song for a few seconds, and it wont let me access the playlists I've created, please fix this",0
Too much advertising. I don't like it. I think you should make one ad for whenever we open the app.,0
"The new update is a big disappointment. It is so so so worse. The previous version was good. In this new version, you can't play a specific song from your playlist. You can't skip songs. And if you search a song, you won't get to listen to that song but will song dome random song. It is really disappointing!!!",0
So many ads after the latest update. It make me wanna uninstall it,0
This app is amaizing l h've been using it for a year and a half the boring part is you can't download the music for offline,0
"I think this is great app all around with a good monthly premium cost, well worth it. I love that you can make your own playlist and also a wide variety of artists to choose from. I don't like to pay for hardly anything but I pay for this for sure.",1
Constantly have to close down app and restart because of pausing.,0
"Everytime I need to search the song ad play, I can't enjoy songs because of its Random shuffle is very bad. If I search one song then it doesn't shuffles and stops after playing only one song.",0
"Update: The last version behaves wierdly and won't display the ""now playing"" bar and I have no way to control the playback. Please fix! Poco F3@android 12. Original post: Works well as a paid user. Don't forget to increase the quality to highest when you register, in the settings. Needs hi-res quality like the competition for premium users.",0
"Lyrics are not coming in Hindi,. Instead of that they are showing in urdu",0
It's wonderful!- even without Spotify Premium...though the ads have been getting longer,1
ð“˜ ð“µð“¸ð“¿ð“® ð“²ð“½ ð“«ð“¾ð“½ ð”€ð“±ð“®ð“· ð“¶ð”‚ ð“·ð“®ð“½ð”€ð“¸ð“»ð“´ ð“²ð“¼ ð“·ð“¸ð“½ ð”€ð“¸ð“»ð“´ð“²ð“·ð“° ð“¼ð“¸ ð“·ð“¸.ð“²ð“¼ ð“«ð“®ð“²ð“·ð“° ð“¹ð“µð“ªð”‚ð“®ð“­ ð“²ð“¯ ð“²ð“½ ð”€ð“ªð“¼ ð“ªð“· ð“¸ð“¯ð“¯ð“µð“²ð“·ð“® ð“ªð“¹ð“¹ ð“¼ð“¸ ð“˜ ð”€ð“²ð“µð“µ ð“µð“¸ð“¿ð“® ð“²ð“½ ð“¶ð“¸ð“»ð“®,1
Great service and easy to use. Highly recommend,1
"How are u the worst and the only 1 thats good..ish I can't stand how everything that a normal streaming app SHOULD have is behind a pay wall how come I can't just get the song I want I have too go in to a TRASH playlist just too find the song and sometimes it's the 2nd or 3rd song in the playlist IF YOUR LUCKY it could be SOOOOS FAR in the playlist, your the effin EA/Dice of music streaming like Goddam, I can't just find a song from a creator to my knowledge. I'm just mad u shouldn't acknowledg",0
"Spotify got it (almost) all! Watch, voice assistent, android auto, shazam integration, wide music portfolio. On the other hand, missing some very basic features like better management of podcast automatic downloads, history of songs listened to.",0
Very limited internationally,0
"Enjoy listening to the songs I love. Each time I search for songs to listen to, I find ""new"" songs (oldies, but goodies) to add to my collection. And the ads are short and tolerable.",0
"Had my doubts about Spotify, but love the free version of their app. Music without adds. Thankyou Spotify.",0
Awesome!! I don't even need to store music in my phone. Everything is here on Spotify. Already organised for me as well. Very impressed with the app.,1
Find it kind of fascinating to find a variety of music to wake up to!!!,1
"I absolutely love Spotify, especially the feature that allows you to listen to certain like genres of music, except it hasn't been working lately. Like I would select country and Christian music would start playing or I'd select rap music and musical would start playing. The apps genre play feature in liked songs is not working at all!",0
"I love love love Spotify! I'm 61 and here I can find the music I grew up with. Whether it's Rubber Band Man or Train kepta Rolling, it's here.",1
Constantly loses my spot and I paid to no listen to ads. On android this app barely works. I constantly have to restart this app and refind my spot in every podcast. Not worth any amount of money. I'd leave if it weren't for Joe Rogan.,0
The Android app kinda sucks. It had bugs and frequently crashes. I do like it better than Pandora though,0
I've used Spotify for a while now and it's been great until the new update. I can't see the song playing like normal anymore. I can't rewind or skip songs anymore. Please fix this as I want to continue using Spotify but can't if I can't see and can't skip/rewind a song.,0
It's an awesome app but the only thing I hate is the ads...it's too frequent nowadays..and sometimes when I got to uninstall the app and reinstall after few min all the songs dissapear and I've had to re-search and add the songs to my playlist again but this happens very rarely maybe you've fixed it and that's great. Overall I really love this app..user friendly and amazing songs are made jus for you. â¤ï¸â¤ï¸,1
Allows podcasters that spread misinformation and lies. I can't support companies that allow the spread of misinformation.,0
"Thank God Spotify has integrity. At the moment, they do not stand for cencorship. I use this app mostly for podcast but it also fulfill my musical preferences. Better than YouTube imo.",1
"I changed my phone and i factory reset the old one, but I can't download songs even when I'm premium and it says I have to erase the downloaded songs from the old device to listen to the new one??? Idk what to do",0
Love this app but one thing I would add. Where you click button that would listen to the music and tell you what it is.,1
Ok spotify fixed the issue I had and now I'll go ahead and say it's really good hahaha the only issue is the region locked songs but whatever.,1
Good selection of music,1
"Theres some problem about the pc and android, for the pc you can like skipped the line but on android you cant",0
"I've had no choice but to resort to streaming. Every conceivably convenient way of having music on my phone is defunct. Other than that I can say that it works, at least.",0
I love to listen to music. Spotify makes it easy to do and gives me a variety of songs!! I like the commercial free also!!,1
I click on a song it does not do that song,0
When working properly it's great. The app randomly changes episodes/song while your listening. Only fix is a uninstall and reinstall every other week. Gets old.,0
I keep going offline. I have completed all suggestions but still happening.,1
"I do lots and lots of driving and I love music, so that means I listen to a lot of music. Spotify is a great app other than the fact that they don't know how to shuffle. I have repeats all the time on playlist that I know are days long. It's quite annoying for me to click one of my playlists and have repeats within the first couple hours.",1
"I enjoy it. Could use a few more options, like a random shuffle play of everything you've downloaded or maybe just a surprise me Playlist of random stuff. Could be interesting. I'm just happy with no commercials.",1
"One of my favorite apps! All the music I love and I can make as many playlists as I want. Any artist, any song, you can find it. Highly recommend to anyone who loves music!",1
Too many ads on the base version,0
Great app lots of music and can read lyrics too!,1
"I appreciate Spotify's content especially their support of speech and open dialog, but the app itself is clunky and unreliable. It's frustrating that the controls to pause or navigate content stop working after switching between apps, even after switching back to the Spotify app, making it impossible to pause or stop playback without restarting my phone. Come on Spotify the technicals matter, delivery and user experience is just as important as content.",0
"Seems the last up date broke the app. Pod cast cut off, the play bar disappears from the bottom and it keeps playing, I can't pause anything. I have to close the app and re open it really annoying, I hope they are working on it.",0
"Annoying that it starts playing randomly in my car. It auto starts when I turn my car on, when I answer a call, when I hang up, when I turn my stereo on, etc. If I turn off permissions to avoid this then it doesn't work properly. Like the service, hate the app.",0
Cool but ads irrititating,0
"I liked the app until the newest version. The older version in my opinion better. 6 skips an hour really? The songs that get added to the Playlists are the most annoying, they never end. Before i would rate Spotify 5 stars but this, it's not something i have seen anywhere.(sorry for wasting your time if you are a normal person but if you help Spotify tell them to fix this. Im not the only one here that wants this fixed too.)",0
"Nice app for listening to music. Huge library of songs and many functionalities to make your experience more enjoyable. Two downsides for me are: 1. Even with a premium account, half the time when you open the app you get pop-ups which you already said no to many times before. Becomes real annoying after a while. 2. The settings are all in one menu and look pretty long and complex. It provides many nice configurations, but chances are after seeing the menu, you'll never look through it.",0
Excellent app for your entertainment all-day and night long... Can you believe thisðŸ˜…ðŸ˜‚ it gives me time to pay my credit before taking my song's away,1
I love the idea that I cuold listen the whole album o just the music that I want to listen.,1
I have a Samsung S22 and and I love all the music you'll have especially the disco and everything is just tremendously 2 minutes late good to hear I enjoy it And it's fun music too so anyone can enjoy it,1
"The apps functionality is very poor, when I play a postcast I can't get controls have the time. And it consistently forgets where I am on my podcasts.",0
Great podcasts. Great music playlists,1
Poor optimization and network issue,0
"I can't use the app when storage is setting to SD ""something went wrong""",0
Spotify is good but can i have a request that when u pick a song theres a download button so u can listen without internet,0
I like it alot good for music,1
Automatically logging out. Can't log in again and the 'you are offline' keep appearing even though I have a stable connection? I was just peacefully listening then all of the sudden it logs out and gives me hard time to log in again because of that offline thing. Please fix this.,0
"Super buggy, even when clicking the direct link to the songs I want to listen to, it will only play a clip and gives me no way to play the song from the app. Had to go to it in the browser to get it to play.",0
Outstanding app. Hope you give more freebies to new and old users.,1
Cant even got my account back when getting a new phone without making a new account im bot paying twice,0
"I love the app, but for some reason my music is skipping when played through my bluetooth earbuds. #Edit: Uninstalling and reinstalling the app fixed the problem.",0
Lovely great must but only if I could download without premium,1
"App is alright other then whenever i get a call on my phone ,the next song starts playing in the call which is verry anoying.",1
"I searched a song. It return results, clearly said it is a single. I clicked on the single. It played an shuffle list, didn't even let me to listen for the song I searched for. Even unable to skip.",0
4 ads eveyry 2 songs. Worst thing is if you dont have premium you cant even choose what you wanna listen to you can just shuffle play,0
Sometimes it will kick me out of the app and won't let me reopen it again.,0
Why is it so hard to allow you to go down the list of songs u have on phone when u can do it on other devices. Always shuffle play,0
"Seamless, high quality I'm particularly grateful that Spotify is an advocate of free speach",1
It is because you don't have the right lyrics for a song,0
Good app but what's the delay on us getting lyrics on mobile versiin...please work on this asap... And was my previous comment deleted or what?,0
"9 ads just to listen music, you're gonna listen to more ads than actual music.",0
Good,1
Because it's very cool and good song play,1
"I use Spotify for the podcasts and it is constantly crashing, stopping my podcast within a few minutes of playing it, or skipping to the next one without actually playing it. Please fix your broken and worthless app.",0
I can't even play my Playlist like I wanted it to be,0
It's easy to find songs for me and it's cool how Spotify gets a playlist with music close to the music you listen to.,1
Good music,1
App keeps crashing. Track controls dont come up. Have to shut down and reboot constantly.,0
It's awesome and very useful app..,1
Easy to navigate : just type music of interest and it gives good suggestions.,1
"Truly amazing app, but I'd like to put a caveat on that. Paying for Premium is a nightmare in my country. If I could pay in cash, I would, and I tried to call in a favour from someone in another country, but the payment didnt go through because of country codes.",0
"I've used spotify since it first came out, and it's absolutely my favorite music service platform.",1
Best music player ever! ðŸ˜‹,1
"The app is great, and the recommendation system is also nice. However - can we have a filter by country? We're at war here in Ukraine, and I would very much appreciate if you could cut me off from russian artists that keep squeezing into my ""Recommended""! This issue bothered me from the very beginning, but now it became even more stressing. Thanks!",1
"Extremely infuriating, I pay for Premium and Spotify wont even let me play the songs in MY playlist without playing a random ""recommended"" one, and there is no solution for this, and if there is they have done an incredible job of making the UI as confusing, cluttered and unnavigatable as possible. Unsubscribed, am now using a competitor, which is a lot better, for free.",0
"Enjoyed the Spotify Premium service in particular. My most sincere complements and thanks to all of the very talented staff there at Spotify. You can tell much thought went into even the most minute detail. Spotify staff truly love what they do and in doing so, they show how much respect and genuine care they have for their customers.",1
"With every update this app seems to get worse. Frequent crashes are very annoying. Often when I pick something to play, the app will say ""Spotify is trying to play..."" but it is playing the audio I want, but without the controls to pause/fast-forward/rewind being available. To fix this I have to close the app multiple time and re open it. Spotify is awesome, but the app flat out sucks now.",0
"Latest update glitches. It turns off every 10 minutes, won't allow the playback screen so you can't skip. I have to force stop, even after Uninstall / reinstall. I pay for this service, already downgraded my plan, may drop entirely if this is not fixed",0
I consider my musical taste as extremely eclectic. Spotify allows me to indulge in my eclecticism. For you to appreciate what I mean check out my playlist ECLECTIC IMAGES on Spotify.,1
Ads are bit repetitive and you should have a feature allowing you to listen to only the album you're trying to listen to. You should also be able to choose which artist show up on your Bumble app.,0
"So you seriously adding songs to my playlists? Songs that i don't want, that are nothing like the songs i added?",1
Way better than pandora,1
If I could give them a negative five I would I tried to cancel the premium service before the subscription was up and they still charge me after I hadn't used it for a whole week after subscription was over. When I talk to chat they told me that they closed my account but then my account was charged a second time and I still have premium service that I do not want and I'm paying for and I do not use it,0
"I cant seem to delete strange albums i find in my library that i didn't even put in the list, Spotify just keeps recommending me stuff i wouldn't normally listen to and put it in my library without my permission.",1
"Works alright most of the time but I don't know what it does with downloads. They keep disappearing. Also, I get logged out when there's no network. It's let me down a lot in no network areas. Fix the offline mode issue for the other two stars. Quite annoying.",0
Spotify is a phenomenal app. Hands down one of the best apps for streaming music and podcasts; not even trying to sound like a bot.,1
Love how i have my music on shuffle but somehow manages to play the same 15 songs even though i got over 500,1
Got 6 ads in a row but good service,1
"Lately got issues to connect,tho im online and got premium. Otherwise I love this app",1
I love using my Spotify app on my Chromebook It is way better than listening to Youtube which has adds I do not own Spotify Premium and I never get adds I do have a couple of issues but I will keep my rating at 5 star My app just laggs a bit and only lets me play certain songs in my school district But other than that I love spotify Definetly recommend,1
Best music app out there. Premium is worth the purchase.,1
Great app but lots of adds sometimes even if you do the 30 min of no adds,1
"Definitely 5 stars! Amazing music streaming platforms, I've tried out a few. Deezer was good as well, but I prefer Spotify thanks to the simplicity and still being able to compact in loads of features!",1
I will give it 5 star but it shows too much ads if we ignore ads then it is the best app for listening music it only take 15mb or above data for playing music 30 mins or above,1
"5 stars, for the most of the times. Car mode could improve. Some songs are not there, but all in all... It rocks ðŸ˜Š",1
I can't listen to anything because the play button doesn't actually work but it will play randomly and then stop randomly and you cannot press any buttons because the app doesn't think it's playing anything..... and this is on premium... you want people to pay money for this?,0
3-star rating for the issues with the app over the last few months.,0
It's pathetic how much Spotify has changed in a year. The app is basically useless if you don't pay for premium. You can't listen to a song if you search it up. Can only skip a few songs before you have to listen to an ad. Also 5 ads in a row? Have the developers gone insane?,0
"It's been great, only issue I may have is, with my one very big Playlist, it still repeats some songs, as though there is only like 20 songs instead of 100, but besides that I enjoy it",1
"Not sure why the newer update, makes my music randomly pause . And it never syncs up with my galaxy watch . Always says I'm playing something completely different.",0
First it was playing the right music but then it started playing random musics,0
This app is have the best music ever,1
I love Spotify I can find all the music I like and make different lists I can connect it to my Alexa and ask her to play my list on Spotify it's great,1
"Great App, links across devices and plays the things I love. Ideally you should subscribe to Spotify for optimum usage",1
"Been a loyal spotify listener for the better part of 7 years as of late been nothing but trouble seriously need to sort it out lagging,music doesnt play,play screen not showing up",0
Enjoyed the music nice and clear.,1
Great UI and good Playlists,1
The constant music interruption is going to cause me to unsubscribe.,0
"Was a good app but now they're getting excessive with ads, its about the same amount of ads as there is music, plus they mix random songs in your playlists and won't let you pick a certain song without premium.",0
"Right now as soon as I start vacation it is not working, not loading. I've uninstalled, reinstalled, forced stopped, restarted my phone. This is beyond annoying!!! Edit, got a new phone and app still not working!!! Everyone else in my family plan has a working spotify except myself and I am the plan account holder.",0
"I can't listen to a song I want to without it being on shuffle. The app was better off without this update on thr interface. For gods sake I can't even skip songs without premium?? OR go back to songs. Update ruined the app, I rather just download youtube music",0
"Crashes every time I switch apps. Tried to uninstall and reinstall, I think it's worse now",0
I'm deleting this app idk if anyone else gets this problem but it's not letting me listen to my songs I can't choose my song it just plays a random one and I can't take it,0
It's a wonderful app I really love it Spotify is best forever really â¤â¤â¤,1
Excellent,1
The app has gone downhill along with Spotify in general. Buggy mess along with management.,0
"Something wrong , running slow , logs out automatically frequently",0
The whole customer service experience usually takes way to long to fix a simple issue. By the time they got back to me I was already irritated enough to cancel payments through my bank. Loyal user for 6 years and I'm kind of over it.,0
I haven't been able to enjoy music on any other app like I am this one (Spotify) and creating an account is completely Free!,0
Too many bugs! Keeps crashing or playing at random. No longer has the control bar either. Please fix!!!,0
Excellent music service,1
It's amazing sound feeling I love it spotify ðŸ™ƒ,1
"The entire app breaks every few updates, it's like they have no quality control. It's not just my phone brand either, everyone in my family's Spotify apps have become borderline unusable with this most recent update.",0
Love it. No adds just music.,1
This is really frustrating. The app was all good in my tab a few weeks ago but then all of my playlist and downloaded songs won't appear even while using wifi. I can't even play any playlists saying it's all empty??! What's the sense of paying premium if I can't even access my offline library or play any music? You need to fix this ASAP.,0
"Unintuitive, buggy, and censorious. Bad experience. No up/downvoting. No commenting. Ads in paid version! Final straw: you removed Joe Rogan videos. Leaving for better platforms. You suck.",0
"It does't matter the musical genre, my mood or the time. The suggestions raise the bar, too.",0
"PLEASE add the possibility to delete the shows from ""your shows"" I hate the fact that if you try to listen to one it will always have to be visible, I even tried listening to other shows to push the embarrassing things back but they're still there and it's annoying. Please fix this",0
"It's a really good app to play music/podcasts, but I dont really like how much it changed and how more aggressive it is to non-premuim users. Non-premium users are beaten to the point where all they can do is only shuffle. I didnt have premium for a day, and I felt like I got pushed off a roof. PC and Console players that use spotify without premium arent as punished as non premium mobile players.",0
I used to have pandora but switched to this and never looked back highly recommend switchingðŸ’¯ðŸ‘Œ,1
"Great app, sadly since quite a while it is not possible to get a list with all the songs of an interpret of choice... Only the top 5 songs. Why is there no ""show all songs"" button :( And no I don't want to shuffle the interpret to get all songs in the queue.",0
This was an amazing app although I would appreciate it if you would PUT LESS FUCCIN ADS,1
"Music is constantly shutting off , and I have to go back in and turn spotify on. Can you fix this problem ?",0
The app isn't optimised for low connection speeds and spotty connections.,0
THE APP IS GREAT .. GREAT QUALITY SOUND IS FINE AND EVERYTHING IS WELL BUT WHEN I HEAR KOREAN THEN THE LYRICS CAME IN KOREAN I CAN'T ABLE TO UNDERSTAND THE LYRICS OR ANY INTERNATIONAL PLEASE FIX IT OTHERWISE IT IS AWSOME APP LOVE IT BUT SPOTIFY PLEASE FIX THAT ISSUE AND GIVE ENGLISH LANGUAGE IN KOREAN LINE....... OR ANY OTHER SONG THANKS,1
Good content lots music and podcasts reliable,1
Sometimes the app just skips to the end of the podcast after an advisement. Now I have to scan through the podcast to find where Spotify decided I had to move on but fought back. If Joe Rogan wasn't on this app I would NEVER use it.,0
Great app for organizing my fav podcasts. I've upgraded to premium and I think it's worth it.,1
"Spotify asked me to rate them and I did, ur welcome Spotify.",1
"Selection is good, queue is cumbersome to use and edit",0
This is my most used app and I love it so much with the different choices of music.,1
"Spotify player controls that are normally displayed at the bottom, disappear. Will leave the music running and is unable to pause. Have to force stop to stop music.",0
I hate when they add suggestions onto my playlist.,0
Love it the website got all kinds of artists & songs I'm enjoying this app to the max thanks,1
I paid 129â‚¹ for a premium but i haven't received premiumship yet.,0
"Stupid constant emails, annoying pop ups, can't dislike anything so you keep getting the same stupid recommendations. Fed up getting ads disguised as suggestions in the paid version. Sick of my ""top mixes"" having nothing in common with anything i ever listen to.",0
The app is good with the sings and stuff and i understand about the ads but why i can't go back to a song or skip a part of the song when i am in a playlist? This is really annoying please fix it.,0
This is the best app for listening to music and streaming and enjoying your fav songs and podcasts. It is a must try and I would also highly recommend the Spotify Premium.,1
The best music listening program ever made. The only thing I did not like the program missing referral program. It is better making referral program available for customers and offering them some privileges for each attracted person.,0
"It's an amazing app, at first I always downloaded my songs from YouTube with a converter to my phone. I always told my friends how many good things I could do with the playlist on my phone for free, than when you compared that with spotify. But about a month ago I was persuaded by friends to try spotify out at least. And it was so much better than expected. Both thumbs up!!ðŸ‘ðŸ»ðŸ‘ðŸ» I'm not gonna delete it as I actually would have expected.",1
When I pick a song it always plays a different song please fix this bug.,0
I have been using Spotify for years now. I have had no problem with the app. Getting Premium is a great thing to have and easy to get.,1
"STOP ADDING SONGS TO MY PLAYLIST! I HATE IT! IF YOU STOP DOING THAT, ILL GIVE YPU 4 STARS! GOD.",0
I love this app it is so given Hindi english nepali song,1
